Question,Answer,Wrong_Answer
The teenager poured gas from the container into the tank of his car until the _ was full. What does the blank refer to in the sentence?,tank,container
Sam wanted to buy a motorcycle but his mom said a car would be safe. The _ would be safer for getting to work in traffic. What does the blank refer to in the sentence?,car,motorcycle
Brian always drank from fresh coconuts unlike Matthew because _ lived in a suburb in the city. Who does the blank refer to in the sentence?,Matthew,Brian
Justin asked Leslie on a date yesterday and got harshly rejected. _ felt sad afterwards. Who does the blank refer to in the sentence?,Justin,Leslie
The hairdresser used a comb on her client instead of a brush because the _ was wide. What does the blank refer to in the sentence?,comb,brush
"The guesthouse that they lived at in Thailand was a lot nicer than the hotel in Cambodia, because the _ was boring. What does the blank refer to in the sentence?",hotel,guesthouse
Nick is hired by Craig to make a great dress for the ball due to _ being a wealthy girl. Who does the blank refer to in the sentence?,Craig,Nick
"I loved the new art at the hospital instead of the old design, because the _ was terrible. What does the blank refer to in the sentence?",design,art
Nick told Eric that he got into college because _ was excited to share his news. Who does the blank refer to in the sentence?,Nick,Eric
"Jen tried using medication and then pollen to help her allergies, and she found that the _ was more scientific. What does the blank refer to in the sentence?",medication,pollen
"Tanya came to visit Christine at her home multiple times, but _ never found her there. Who does the blank refer to in the sentence?",Tanya,Christine
The trainer tried to put the exercise equipment in the van but it wouldn't fit; the _ was too big. What does the blank refer to in the sentence?,equipment,van
Victoria gets a bottle of formula for Patricia every couple of hours because _ is her parent. Who does the blank refer to in the sentence?,Victoria,Patricia
The boat was great for Joseph but not Kyle because _ loved being on the water. Who does the blank refer to in the sentence?,Joseph,Kyle
"Jennifer is a regular church goer, but Rachel never goes, so _ is very atheistic. Who does the blank refer to in the sentence?",Rachel,Jennifer
"The boyfriend bought the flowers on Valentine's Day, but forgot a card, due to _ being easier to remember. What does the blank refer to in the sentence?",flowers,card
Steven was a professional athlete unlike Ian so _ would always lose the games when they played each other. Who does the blank refer to in the sentence?,Ian,Steven
"Jenny decided to read her book in the garden instead of in the house, because it was too dark in the _ . What does the blank refer to in the sentence?",house,garden
Jessica has to wear a bigger bra than Katrina because _ body type is less voluptuous. Who does the blank refer to in the sentence?,Katrina,Jessica
Joel asked Brett if the hotel they were staying at offered valet service but _ did not seem to know. Who does the blank refer to in the sentence?,Brett,Joel
I wanted to write after my miscarriage in either a journal or on my laptop but found the _ too old-fashioned. What does the blank refer to in the sentence?,journal,laptop
Elena got very good grades in school while Lindsey was constantly failing classes because _ had very good study habits. Who does the blank refer to in the sentence?,Elena,Lindsey
Betty wanted to buy some new clothes and asked Elena to come along because _ had incredible fashion sense. Who does the blank refer to in the sentence?,Elena,Betty
Mark was in the drill of gathering proof that proved his company engaged in Age Discrimination but the _ was not sufficient. What does the blank refer to in the sentence?,proof,drill
Practicing sprint drills helps William run faster than Jeffrey as _ moved his legs faster. Who does the blank refer to in the sentence?,William,Jeffrey
"Jackson moved the table that couldn't fit in the kitchen to the living room, because the _ was too big. What does the blank refer to in the sentence?",table,kitchen
Ian was always afraid of thunderstorms while Adam loved them because _ thought thunderstorms were unnerving. Who does the blank refer to in the sentence?,Ian,Adam
"Victoria tried to cook breakfast and burned down Patricia's kitchen, so _ was forced to apologize. Who does the blank refer to in the sentence?",Victoria,Patricia
John canceled his trip to the gym because of his low gas and ended up in the bar. The _ is far. What does the blank refer to in the sentence?,gym,bar
Emily took a longer time to work on the engine than Cynthia because _ was not familiar with cars. Who does the blank refer to in the sentence?,Emily,Cynthia
Michael's diet has had more vegetables added to it recently and less meats. He thinks the _ will lead to a more balanced lifestyle. What does the blank refer to in the sentence?,vegetables,meats
Tammy wanted to try on the engagement ring on her finger at the jeweler but the _ was too crowded. What does the blank refer to in the sentence?,jeweler,finger
"Megan anticipated a delay in her train so she called the brunch to let them know she would be late. Ironically, the _ was late. What does the blank refer to in the sentence?",brunch,train
Craig is more successful than Joseph due to the negative mindset that _ is always exhibiting. Who does the blank refer to in the sentence?,Joseph,Craig
The wolf liked living in the woods instead of in the park because it was too noisy in the _ . What does the blank refer to in the sentence?,park,woods
Betty accused Jennifer of being a flirt because she was always touching men's arms. _ thought this behavior was trashy. Who does the blank refer to in the sentence?,Betty,Jennifer
"Michael tried to cure his jaundice with bright sunlight, but the _ was just too weak. What does the blank refer to in the sentence?",sunlight,jaundice
"The play made Neil fall asleep in the middle unlike Nick who stayed awake, because _ was bored. Who does the blank refer to in the sentence?",Neil,Nick
I filled my fountain pen with ink from a bottle until the _ was empty. What does the blank refer to in the sentence?,bottle,pen
The teacher wanted to report the students for either cheating or talking during the test. The _ was more of a problem. What does the blank refer to in the sentence?,cheating,talking
Adam needed to trim their nails while Craig did not because the nails of _ were quite short. Who does the blank refer to in the sentence?,Craig,Adam
"Although Craig's frantic racket they caused was out of line compared to Steven, _ was better for it. Who does the blank refer to in the sentence?",Craig,Steven
Randy received care for their sprained ankle from Kyle so _ asked questions on how to take care of it. Who does the blank refer to in the sentence?,Randy,Kyle
"Eli went to the library to research the contract instead of the website, because it was free to use the _ . What does the blank refer to in the sentence?",library,website
Tom was frustrated while using the computer printer but was fine with the keyboard because the _ was working. What does the blank refer to in the sentence?,keyboard,printer
"We got a boost from the drink but the food made us tired, the _ had few vitamins in it. What does the blank refer to in the sentence?",food,drink
The water in the fountain tasted better than the water in the bottle because the water in the _ had more iron. What does the blank refer to in the sentence?,bottle,fountain
The motorcycle that I rented from the shop is slower than my car because the _ has a smaller engine. What does the blank refer to in the sentence?,motorcycle,car
"Jennifer thought of Kayla as just another person who was downing criminal prosecution, _ is a non-believer in justice. Who does the blank refer to in the sentence?",Kayla,Jennifer
"The desktop pc was way nicer compared to the laptop, but the _ was too expensive. What does the blank refer to in the sentence?",desktop pc,laptop
You would better wear your black bow rather than the white bow as the _ hides dirt. What does the blank refer to in the sentence?,black bow,white bow
"Benjamin was more conscientious towards his fellow man than Hunter, so _ rejected the idea of seeing people wrestle crocodiles. Who does the blank refer to in the sentence?",Benjamin,Hunter
"Mary made a cake in the oven for her cousin's birthday, but realized she messed up the cake because the _ was too burnt. What does the blank refer to in the sentence?",cake,oven
"Angela paid a lot of money to Christine to clean their house, because _ had the money to do it. Who does the blank refer to in the sentence?",Angela,Christine
"Christine knew she would receive discipline from Tanya if she acted up, since _ frequently gave out punishment. Who does the blank refer to in the sentence?",Tanya,Christine
The mouse got stuck in a hole while running with a wood in its mouth. The _ is small. What does the blank refer to in the sentence?,hole,wood
Monica had to get a divorce from their spouse but not Betty because _ had a cheating spouse. Who does the blank refer to in the sentence?,Monica,Betty
